"","2025_target","2025_mean","2025_median","2025_lower","2025_upper","2030_target","2030_mean","2030_median","2030_lower","2030_upper"
"Atlanta",0.0155,0.654251154233155,0.651307977781665,0.569581376442164,0.739641422171158,0,0.74031744543515,0.73953349960294,0.670460586121775,0.806724204104316
"Baltimore",0.0765,0.686907895119078,0.691232079557228,0.578917113176565,0.770983735578512,0,0.808449028888451,0.815447016976408,0.708316593769466,0.869796280909166
"Los Angeles",0,0.33297959716026,0.32826124059855,0.231049081569348,0.446331523958988,0,0.430558390612292,0.426416920769005,0.304954935533344,0.560908237790221
"Miami",0.132,0.65884340685206,0.68191935412774,0.448107748064494,0.784771903599,0.001,0.73955000806035,0.764398074303943,0.515481769626184,0.868812260244494
"New York City",0,0.482553464653571,0.485477641891132,0.383005473866151,0.564777903255099,0,0.586929831888266,0.590015029940703,0.481027876563193,0.669049118911337
"Seattle",0,0.291866235353684,0.290849504836814,0.197324651046942,0.389845819655184,0,0.405550038214945,0.407052384396862,0.263329813803964,0.538286961022543
