"","2025_target","2025_mean","2025_median","2025_lower","2025_upper","2030_target","2030_mean","2030_median","2030_lower","2030_upper"
"Atlanta",0,0.243635744488809,0.244327041470418,0.163003895675205,0.32385092651479,0,0.306729010866879,0.308533118254411,0.173544211742008,0.421697955356934
"Baltimore",0,0.323678702771596,0.321437733642632,0.230116784327126,0.421552383595871,0,0.455584253038726,0.452216130775589,0.320598802754825,0.591755589258066
"Los Angeles",0,0.213133390768579,0.21033393951524,0.130137260098537,0.308001759353259,0,0.300509110702472,0.298294202474106,0.185654814364422,0.42903139481794
"Miami",0,0.295527497049284,0.290805726343278,0.167765652831194,0.433621536550136,0,0.374425303221198,0.366371095868751,0.207694352356443,0.563989340938866
"New York City",0,0.39348552074911,0.39455698496897,0.313545089567789,0.465646131220057,0,0.504367624431584,0.507023674400866,0.414522396064919,0.579663688404669
"Seattle",0,0.215814521487325,0.214783782401062,0.138740690175759,0.294662614275258,0,0.317871446023556,0.31820994303177,0.19091106021108,0.437423150735981
