"","Decline25","Decline25_low","Decline25_hi","Decline30","Decline30_low","Decline30_hi","City"
"50%",-0.00728007074903259,-0.0574619991673846,0.0342160837641967,-0.0520658852533864,-0.149289783465784,0.00822297158885501,"Atlanta, GA"
"50%1",-0.0073559888471702,-0.0555893081205443,0.0714164577144972,-0.0435594816320056,-0.126783365775374,0.0774486247415674,"Baltimore, MD"
"50%2",-0.00355667803882075,-0.0473884887021808,0.0604051803313377,0.00842939014655765,-0.0726824869271456,0.128353147435535,"Los Angeles, CA"
"50%3",-0.00787211861703213,-0.0655642764265733,0.0762881588543971,-0.0231419121771802,-0.112045752724387,0.0837927830434723,"Miami, FL"
"50%4",0.122006220741588,0.0903108844203681,0.170143414969219,0.196629330954542,0.154667139174689,0.259423678854798,"New York City, NY"
"50%5",0.0464277633689675,-0.0154366385874493,0.109390021741496,0.0683956054367935,-0.0484846785352309,0.174359201362645,"Seattle, WA"
